Fp1,F7,T7,P7,O1,F3,C3,P3,Fp2,F8,T8,P8,O2,F4,P4,Cpz
-1.2814950878237141e-05,-3.175068820837623e-05,-5.380010861699702e-06,3.9705173549009487e-07,5.7414936236455105e-06,1.595442881807685e-06,1.939189360200544e-06,8.18231993093832e-06,-1.6346039046766236e-06,5.042265911470167e-06,1.3842072803527117e-06,4.239600002620136e-06,5.193458491703495e-06,5.304721014454117e-06,6.189658961375244e-06,6.370845767378341e-06
-1.270864822799922e-05,-2.8943464712938294e-05,-7.271652293638908e-06,-9.406787739862921e-07,2.691557256184751e-06,-5.348375779590242e-06,-5.221410219746758e-06,-8.002190838851675e-07,-5.2026699108864705e-06,1.7014172044582665e-05,1.0221166576229734e-05,9.467657946515828e-06,1.0688668226066511e-05,6.1042427432767e-06,4.439106646714208e-06,5.810547463624971e-06
-9.777680133993272e-06,-3.1881801078270655e-05,-3.0943588171794545e-06,7.453645693544786e-06,7.98885434960539e-06,-1.0647065550983825e-05,-7.320245458686259e-06,2.317539099294663e-06,-3.998099600721616e-06,1.7294156805292005e-05,7.606638888546513e-06,6.4424451693412266e-06,6.633991915805382e-06,4.23441292696225e-06,-1.999777623495902e-07,6.9475419195441646e-06
6.739183299941942e-05,-4.2435372961335815e-05,-5.36239247139747e-05,-2.3703119950369e-05,-1.2353722922853194e-05,-1.520438672741875e-07,-1.5810065633559134e-05,-4.300844011595473e-06,6.183861842146143e-05,2.200801645813044e-05,3.125569492112845e-07,-2.66496317635756e-06,-5.362435331335291e-06,1.3019684047321789e-05,3.076560460613109e-06,-7.240781997097656e-06
2.0991745259379968e-05,-6.351122829073574e-05,-3.9680000554653816e-05,-1.6591933672316372e-05,-7.544890081589983e-06,-1.3084672445984324e-05,-2.2463769255409716e-05,-1.5078554554293078e-05,4.176196011940192e-05,6.351213414745871e-05,2.59832845586061e-05,1.157576764398982e-05,-2.182164735131664e-06,2.489468261046568e-05,-1.0322737580281682e-06,-7.550084546892322e-06
-0.0001492200535722077,-5.637752838083543e-05,3.1023978863231605e-05,3.813366197391588e-05,3.645108267846808e-05,-2.0161800648565986e-05,1.3368862937568338e-05,2.527349238334864e-05,-0.00011866482236655429,3.383162021464159e-05,3.534334700816544e-05,3.0008854082552716e-05,2.949636291305069e-05,1.510025856532593e-05,2.417976929791621e-05,3.221292445232393e-05
-0.00011734364488802385,-6.117138644867737e-05,1.7305906339970534e-05,3.0042788239370566e-05,2.4719063731026836e-05,-2.8589945600288047e-05,3.4893431575255818e-06,2.287711424742156e-05,-9.467182644584682e-05,3.1691050480731064e-05,3.866840393129678e-05,3.993382313183247e-05,2.862815676962782e-05,1.0570870927040232e-05,2.767121668512118e-05,2.6179065343967522e-05
-7.809718954376876e-05,-9.245437013305491e-05,-7.93212029748247e-06,1.54436711454764e-05,2.6009279281424824e-05,-2.2660614376945887e-05,1.0743169696070254e-06,1.9107617845293134e-05,-4.5231533476908226e-05,3.2298772907779494e-05,2.4494709350619814e-05,2.3153904294304084e-05,3.094801104452927e-05,1.8429004740028176e-05,2.7545074317458784e-05,2.787146240734728e-05
-2.8817735255870502e-05,-9.889539433061145e-05,-3.074959840887459e-05,4.131323976253043e-07,7.528511332566268e-06,-5.718810939470131e-06,-8.53573510539718e-07,4.952121685164457e-06,-9.864721050689695e-06,4.264067774784053e-05,3.1740122722112574e-05,2.341721938137198e-05,1.4785977555220597e-05,2.292440649398486e-05,1.6649888493702747e-05,9.847777846516692e-06
-1.4315683074528351e-06,-3.928783644369105e-05,-1.496995992056327e-05,2.415687049506232e-06,7.886998901085462e-06,-1.1520204452608596e-05,-9.027800160765764e-06,-2.310496256541228e-06,6.345977453747764e-06,1.8044023221364114e-05,1.0680696959752822e-05,6.335027592285769e-06,6.937819307495374e-06,7.4784638854907826e-06,2.8110045491303026e-06,9.612163921701722e-06
