# ts,saccadeRate
2.195476556979576344e+03,1.399999999999999911e+00
2.200476556979576344e+03,2.399999999999999911e+00
2.205476556979576344e+03,2.399999999999999911e+00
2.210476556979576344e+03,1.399999999999999911e+00
2.215476556979576344e+03,1.399999999999999911e+00
2.220476556979576344e+03,1.600000000000000089e+00
2.225476556979576344e+03,1.199999999999999956e+00
2.230476556979576344e+03,2.399999999999999911e+00
2.235476556979576344e+03,1.600000000000000089e+00
2.240476556979576344e+03,2.600000000000000089e+00
2.245476556979576344e+03,1.600000000000000089e+00
2.250476556979576344e+03,1.000000000000000000e+00
2.255476556979576344e+03,1.200000000000000178e+00
2.260476556979576344e+03,1.399999999999999911e+00
2.265476556979576344e+03,1.799999999999999822e+00
2.270476556979576344e+03,1.199999999999999956e+00
2.275476556979576344e+03,1.200000000000000178e+00
2.280476556979576344e+03,1.600000000000000089e+00
2.285476556979576344e+03,2.200000000000000178e+00
2.290476556979576344e+03,3.600000000000000089e+00
2.295476556979576344e+03,2.799999999999999822e+00
2.300476556979576344e+03,2.000000000000000000e+00
2.305476556979576344e+03,6.000000000000000888e-01
2.310476556979576344e+03,8.000000000000000444e-01
2.315476556979576344e+03,2.000000000000000000e+00
2.320476556979576344e+03,2.799999999999999822e+00
2.325476556979576344e+03,5.999999999999999778e-01
2.330476556979576344e+03,2.600000000000000089e+00
2.335476556979576344e+03,2.399999999999999911e+00
2.340476556979576344e+03,2.399999999999999911e+00
2.345476556979576344e+03,2.200000000000000178e+00
2.350476556979576344e+03,2.000000000000000000e+00
2.355476556979576344e+03,8.000000000000000444e-01
2.360476556979576344e+03,3.599999999999999645e+00
2.365476556979576344e+03,4.200000000000000178e+00
2.370476556979576344e+03,2.400000000000000355e+00
2.375476556979576344e+03,2.200000000000000178e+00
2.380476556979576344e+03,2.399999999999999911e+00
2.385476556979576344e+03,2.000000000000000000e+00
2.390476556979576344e+03,2.399999999999999911e+00
2.395476556979576344e+03,1.800000000000000044e+00
2.400476556979576344e+03,1.200000000000000178e+00
2.405476556979576344e+03,3.200000000000000178e+00
2.410476556979576344e+03,1.800000000000000044e+00
2.415476556979576344e+03,1.799999999999999822e+00
2.420476556979576344e+03,1.600000000000000089e+00
2.425476556979576344e+03,2.399999999999999911e+00
2.430476556979576344e+03,2.000000000000000000e+00
2.435476556979576344e+03,2.000000000000000000e+00
2.440476556979576344e+03,2.399999999999999911e+00
2.445476556979576344e+03,2.799999999999999822e+00
2.450476556979576344e+03,3.000000000000000000e+00
2.455476556979576344e+03,2.000000000000000000e+00
2.460476556979576344e+03,2.000000000000000000e+00
2.465476556979576344e+03,2.200000000000000178e+00
2.470476556979576344e+03,1.600000000000000089e+00
2.475476556979576344e+03,1.799999999999999822e+00
2.480476556979576344e+03,2.600000000000000089e+00
2.485476556979576344e+03,1.799999999999999822e+00
2.490476556979576344e+03,1.600000000000000089e+00
