# ts,pupil
2.090476556979576344e+03,3.398684941508821389e+00
2.095476556979576344e+03,3.310737031406869590e+00
2.100476556979576344e+03,3.752737532553059641e+00
2.105476556979576344e+03,3.282586279291589637e+00
2.110476556979576344e+03,3.369402965774270342e+00
2.115476556979576344e+03,3.164947079987217027e+00
2.120476556979576344e+03,3.538254584381224088e+00
2.125476556979576344e+03,3.621638719368513559e+00
2.130476556979576344e+03,3.664892764278820714e+00
2.135476556979576344e+03,3.300069458029713854e+00
2.140476556979576344e+03,3.607975693957317098e+00
2.145476556979576344e+03,3.565882673184121998e+00
2.150476556979576344e+03,3.601105494676659191e+00
2.155476556979576344e+03,3.228626305951645126e+00
2.160476556979576344e+03,3.604634978404172241e+00
2.165476556979576344e+03,3.585295437999079571e+00
2.170476556979576344e+03,3.849086116801286206e+00
2.175476556979576344e+03,3.618010902102824833e+00
2.180476556979576344e+03,3.869755749416212698e+00
2.185476556979576344e+03,3.759056560478412301e+00
2.190476556979576344e+03,3.561472544887773317e+00
2.195476556979576344e+03,3.713594380449633192e+00
2.200476556979576344e+03,4.054075916317393613e+00
2.205476556979576344e+03,3.942236314321203139e+00
2.210476556979576344e+03,4.124650150248956315e+00
2.215476556979576344e+03,3.947601389619279644e+00
2.220476556979576344e+03,3.932800230513346040e+00
2.225476556979576344e+03,3.779791156292784393e+00
2.230476556979576344e+03,3.719492746160101504e+00
2.235476556979576344e+03,3.800299455408225668e+00
2.240476556979576344e+03,3.606620866223257504e+00
2.245476556979576344e+03,3.755884781875016287e+00
2.250476556979576344e+03,3.515905962203168311e+00
2.255476556979576344e+03,3.779921185705949593e+00
2.260476556979576344e+03,3.783358095365266571e+00
2.265476556979576344e+03,3.771946537936303301e+00
2.270476556979576344e+03,3.449415835330650104e+00
2.275476556979576344e+03,3.775220295541560578e+00
2.280476556979576344e+03,3.488512414751467894e+00
2.285476556979576344e+03,3.591946467458480452e+00
2.290476556979576344e+03,3.665037360382440657e+00
2.295476556979576344e+03,3.725952641188654990e+00
2.300476556979576344e+03,3.545774984821867815e+00
2.305476556979576344e+03,3.475966945788781182e+00
2.310476556979576344e+03,3.300372605223179434e+00
2.315476556979576344e+03,3.486688387350856289e+00
2.320476556979576344e+03,3.745828536647614726e+00
2.325476556979576344e+03,3.208159795982582718e+00
2.330476556979576344e+03,3.369745198971938471e+00
2.335476556979576344e+03,3.569702960645097622e+00
2.340476556979576344e+03,3.724021613532758845e+00
2.345476556979576344e+03,3.928529832470138317e+00
2.350476556979576344e+03,4.010171978978675611e+00
2.355476556979576344e+03,3.803633675368629952e+00
2.360476556979576344e+03,3.711060766499588492e+00
2.365476556979576344e+03,3.517495519952806848e+00
2.370476556979576344e+03,3.297920965499894663e+00
2.375476556979576344e+03,3.443204530688275700e+00
2.380476556979576344e+03,3.300605167630325631e+00
2.385476556979576344e+03,3.189966227715252067e+00
2.390476556979576344e+03,3.426055833344536783e+00
2.395476556979576344e+03,3.258341705089730755e+00
2.400476556979576344e+03,3.334707091100858278e+00
2.405476556979576344e+03,3.416348690696994872e+00
2.410476556979576344e+03,3.453416900544530765e+00
2.415476556979576344e+03,3.306270624951554105e+00
2.420476556979576344e+03,3.609921413340898333e+00
2.425476556979576344e+03,3.311573969412561436e+00
